Année,Pays,Happiness_Index,Global_Rank,Subjective_Index,subjective_rank,Engagement civique,Equilibre travail-vie,Liens sociaux,Logement,Qualité environnementale,Revenu et patrimoine,Santé,Savoirs et compétences,Sécurité,Travail et qualité de l'emploi
2007,Lituanie,0.25210198884468465,16.0,0.8695652173913043,1.0,,,0.14851588669641988,0.24739948177499865,4.8745220121998715e-05,0.24170586986727616,0.05304605830035282,,0.021249903190741146,0.2880340549500894
2008,Pays-Bas,0.6780839955244641,1.0,0.511359418163826,6.0,,,0.10440794301290399,0.19484044739248998,0.013883676957090729,0.17346891176004345,0.18695575993564306,,0.19511274604559614,0.1313305148962326
2008,Finlande,0.6581078216872113,2.0,0.34183673469350273,10.0,,,0.11032928012263965,0.18245010940153655,0.10853627486974368,0.1377741019762791,0.12277401426802109,,0.19400156337715352,0.1441346559846265
2008,Luxembourg,0.650262935945217,3.0,0.34019564079946363,11.0,,,0.11281521802040807,0.16976536035350084,0.0,0.21831253491941377,0.17680496573858334,,0.1943062204158131,0.12799570055228077
2008,Autriche,0.6320202267179535,4.0,0.4069432437471874,9.0,0.13223120622081175,,0.1029871509462616,0.15304543539437063,2.0779578100194023e-05,0.13500294614915284,0.1443319516891087,,0.17970595830433897,0.15267457171785534
2008,France,0.6089942457378832,5.0,0.24102517259330952,13.0,,,0.1212592477530673,0.17404749390404753,0.008402161954368324,0.171204311165961,0.18110370996558145,,0.18702723995708923,0.1569558352998851
2008,Allemagne,0.5918807848652012,6.0,0.4658147261766865,7.0,,,0.12304290105848065,0.17561675467380303,0.0004676033088221547,0.16806794869549976,0.17643264756947316,,0.22066122394809595,0.1357109207458252
2008,Irlande,0.5815047626021776,7.0,0.5598805604022404,4.0,,,0.12283402651585426,0.16785104226709685,0.001934473399644145,0.1313372811230887,0.2300808855800792,,0.19551172587776575,0.15045056523647102
2008,Belgique,0.5783372763794559,8.0,0.21100131161149605,14.0,,,0.12929981143734365,0.19851514453953065,0.0009855237624996854,0.17934945866587207,0.1854527656084684,,0.18364243663636148,0.12275485934992399
2008,Italie,0.577894024173003,9.0,0.5163301819733123,5.0,0.21630263468960703,,0.1144841336207628,0.11128953970651485,0.02922114141029381,0.1110902169617974,0.15660763850440884,,0.15123894966819754,0.10976574543841777
2008,Espagne,0.5509495020440281,10.0,0.3311081949666961,12.0,0.0,,0.11196063468020644,0.15052711773162775,0.12986738085067878,0.1088122599936134,0.1879518552579211,,0.17878530845501628,0.1320954430309363
2008,Grèce,0.5057287803231777,11.0,,,,,,0.14796707028150966,0.17055860442493262,0.12334305182006806,0.24679111224788067,,0.17034991161163424,0.14099024961397486
2008,Portugal,0.45169815263568197,12.0,0.45777579294511594,8.0,,,0.16563154795301732,0.133274094999151,0.0535734316576664,0.1405175125394765,0.14794878287756238,,0.21939916252681363,0.13965546744631277
2008,Estonie,0.4267414204452659,13.0,0.7655106617185174,2.0,,,0.1598239703867742,0.27361906613283904,0.003228947372757958,0.16354489229595193,0.0717005119012059,,0.15588818525866135,0.17219442665180962
2008,République slovaque,0.3587281023960522,14.0,,,,,,0.17033624400837788,8.060040887511254e-06,0.16899974499858314,0.18622467735734322,,0.29808385078402855,0.1763474228107797
2008,Lettonie,0.32835034722878303,15.0,0.6275024003238034,3.0,,,0.2175376759349138,0.2706519826827798,0.007066406379867701,0.14221866889050327,0.0382036439976635,,0.08666503449623879,0.23765658761803315
2008,Lituanie,0.2270600756477126,16.0,0.7857142857151604,1.0,,,0.15106605150443128,0.23841120021613765,4.004360750406638e-05,0.2801278199425744,0.01804209147634652,,0.0021546579213058592,0.3101581353317003
2009,Pays-Bas,0.7201538291804832,1.0,,,,,,0.18711973998986564,0.014526160187296324,0.16689532599287354,0.17962935168771887,0.1333034555203825,0.19175797239374118,0.12676799422812193
2009,Luxembourg,0.640186802549938,2.0,,,0.19525550902035244,,,0.16166034291192835,0.0,0.19369968823134565,0.15674763237903222,0.03440042902246557,0.1281504780592923,0.13008592037558353
2009,Finlande,0.6271357821985025,3.0,,,,0.05523289030709754,0.0656803644603532,0.1549955112506112,0.08858616767296972,0.10003060878119527,0.09690019878629794,0.17717233534593943,0.14769535073339016,0.11370657266214555
2009,Allemagne,0.5984096842695569,4.0,0.4514193500676513,6.0,0.09016039762461527,,0.0935963904905925,0.1401927314110296,0.00040068634620659424,0.15880983090105455,0.13519195716999313,0.10238951920217783,0.1707475026253943,0.10851098422893629
2009,Espagne,0.5864162502513176,5.0,0.3198886486867818,10.0,,0.16764041832559565,0.0810267878003963,0.118232340804487,0.10997872594360436,0.08094658974977903,0.1547550516060162,0.04021125622980208,0.15177859260020116,0.09543023694011825
2009,Autriche,0.580289451866172,6.0,0.3877551020402541,9.0,,0.0957376622595717,0.129355502591584,0.14697417622554426,2.2176003839131144e-05,0.12773685469537377,0.1370850257096842,0.04571920054149067,0.17220869383917078,0.14516070813374152
2009,Belgique,0.5731295039376683,7.0,,,,,,0.19966489791718112,0.0011074152976464852,0.18515671695480687,0.18448187236251373,0.13719679885601835,0.1706592518903594,0.12173304672147399
2009,Irlande,0.5575638777713497,8.0,0.5423163634521927,4.0,,,0.11209477961488477,0.1686205899200515,0.0019492282066194528,0.12458375931248604,0.20676185638911654,0.0849731001288614,0.18045163363463151,0.1205650527933487
2009,France,0.5522423070154958,9.0,0.23069005793026956,11.0,,0.06706664188261438,0.09384810347909966,0.14728838748100517,0.008562400484743228,0.1656742110374227,0.15184866838003594,0.07713760080662763,0.15679171656015167,0.1317822698882997
2009,Italie,0.46625849394927593,10.0,0.505579656030495,5.0,,,0.13825197889512805,0.12805948660600625,0.03234693358141544,0.1286213201222795,0.19458920569555055,0.06344487187989142,0.18738967348010324,0.1272965297396256
2009,Estonie,0.4237110045976742,11.0,0.7587996546422071,2.0,,0.14324818621021895,0.08141741502295591,0.21751486978637247,0.0024777124085801974,0.10981926383590314,0.06927967789382276,0.15628557296239268,0.1258340572134063,0.09412324466634768
2009,Portugal,0.39496327650253643,12.0,0.44957515930816755,7.0,0.056881675913247845,,0.14327255941482395,0.12162009632931817,0.05322827724022863,0.11376563169779173,0.1251236942105903,0.08075722637126259,0.20235014286734737,0.10300069595538945
2009,Grèce,0.3877619657647636,13.0,0.4182160052008897,8.0,0.14016326818257985,,0.16458509898564208,0.1206751216168461,0.01637499833481822,0.09522656529796363,0.21125489825497235,0.020301892697471992,0.12107019926349008,0.11034795736621579
2009,République slovaque,0.3716202975368202,14.0,,,,,,0.138243247246375,7.412583560482145e-06,0.15877184881766776,0.15659511211765914,0.10052876129102557,0.30429513897083943,0.1415584789728727
2009,Lettonie,0.280793462028619,15.0,0.6207812902155398,3.0,,,0.2137731851552021,0.2683977800773056,0.00802341819620341,0.12466752288196035,0.03719255410240703,0.10776606085104766,0.09462139564288508,0.14555808309298865
2009,Lituanie,0.15584399290017922,16.0,0.7857142857151604,1.0,0.0,,0.1656493314295349,0.1914735422740858,5.0437390731436686e-05,0.2762819538058094,0.021173165288640983,0.09382682755895096,0.037639309594517396,0.21390543265772904
2010,Pays-Bas,0.6541217990902576,1.0,0.511359418163826,4.0,0.10416551212174176,,0.0926254442155643,0.17653725053677868,0.013751608008842212,0.15742507185033394,0.17232342831499622,,0.17635654624883337,0.10681513870290948
2010,Belgique,0.6436949991821819,2.0,0.21100131161149605,14.0,0.19419134863376786,,0.09773462951751463,0.16356864532483253,0.0008498673278948527,0.15883123243415065,0.141404235340657,,0.13856703778589158,0.10485300363529088
2010,Finlande,0.6354641732758388,3.0,0.34183673469350273,10.0,,,0.11128626669982998,0.1811342360965552,0.11240377417401012,0.14846838726592718,0.12392040702789728,,0.20121853002611353,0.12156839870966664
2010,Luxembourg,0.6308341828810567,4.0,0.34019564079946363,11.0,,,0.11363074026989178,0.1741610821976005,0.0,0.2233794539172853,0.18013448284713746,,0.1825246511963426,0.1261695895717424
2010,Allemagne,0.6302217401131855,5.0,0.4658147261766865,6.0,,,0.11133592121296325,0.19159856719638274,0.00048208350385172983,0.1988363293247054,0.16242320452513775,,0.20622706031175123,0.1290968339252078
2010,Autriche,0.6061301483831968,6.0,0.4069432437471874,9.0,,,0.11724864457329923,0.18510384042315178,2.6636999374709307e-05,0.15756686077232235,0.1648894770044269,,0.21245528783667383,0.16270925239075126
2010,Espagne,0.5995286697864163,7.0,0.3311081949666961,12.0,,,0.11403150942896433,0.13404519813663748,0.12591196719876374,0.11846935786278998,0.20032577553890174,,0.18826254270884912,0.11895364912509365
2010,France,0.5941565787628013,8.0,0.24102517259330952,13.0,,,0.1199499121833664,0.18467141575493815,0.009461584461444046,0.17262316188487603,0.17888030598854607,,0.1842023038202378,0.15021131590659154
2010,Irlande,0.5718805771485106,9.0,0.5598805604022404,2.0,,,0.12490120189905012,0.2014003882864785,0.002121208427459069,0.12493305348696766,0.23329494874392112,,0.20172967370889563,0.11161952544722792
2010,Italie,0.527125691427461,10.0,0.5163301819733123,3.0,,,0.13157737393883878,0.1471003772181891,0.029851908227595203,0.17261932135675234,0.20834322845314002,,0.18323031735306913,0.12727747345241536
2010,Grèce,0.48285844701340136,11.0,0.42742428925908327,8.0,,,0.15782973618597124,0.1149433238377286,0.15877970316787182,0.09407115793858012,0.21871373129121868,,0.12417360787236333,0.1314887397062663
2010,Portugal,0.4658577240089497,12.0,0.45777579294511594,7.0,,,0.14613379022871936,0.15257674439454114,0.07905867432138507,0.1459910997381312,0.13501751768740194,,0.1881297902754603,0.15309238335436093
2010,Estonie,0.38419211477271187,13.0,,,,,,0.30899018742808465,0.0031014960503940084,0.15947773196110276,0.12734548033328869,,0.22255882920114112,0.17852627502598883
2010,République slovaque,0.3144220723546129,14.0,0.5062376246888873,5.0,0.0,,0.17387304128474243,0.19593400690837284,7.535599725723575e-06,0.09131300554758096,0.1839781454484499,,0.21644770719464793,0.1384465580164803
2010,Lettonie,0.21470419560775517,15.0,,,0.1287807604643508,,,0.3251107265427831,0.011768526464458112,0.1914208298726594,0.05823903706761882,,0.040964022443821434,0.24371609714430834
2010,Lituanie,0.19630858737368476,16.0,0.7857142857151604,1.0,,,0.13716863285140982,0.22120953595535056,5.000247569804909e-05,0.27392822529329974,0.03341023633730121,,0.06818654439837997,0.26604682268856067
2011,Pays-Bas,0.6625659671763039,1.0,0.39583333333125004,10.0,,,0.10658837614119508,0.20449423676557685,0.014636773852595604,0.15042884628196995,0.18878100024987485,,0.19981208027149844,0.13525868643728917
2011,Espagne,0.6574815405458242,2.0,0.38832327298942537,11.0,0.17474327888629573,,0.0932355656616889,0.11275790464225384,0.10930791804995683,0.10373180610425851,0.16666281419155904,,0.15981363185409395,0.07974708060989326
2011,Finlande,0.6426643791966301,3.0,0.3760741711355621,12.0,,,0.10741529211425262,0.1845834908556465,0.11114443828030664,0.14540266359865128,0.1247324378983091,,0.18331328380126477,0.14340839345156917
2011,Irlande,0.6295607794798259,4.0,0.5791440038730029,5.0,0.19855112337728717,,0.09927556168864358,0.16433154005636738,0.0015767928567567337,0.10166933688621244,0.18235436015681186,,0.1641109468324552,0.08813033814546571
2011,Autriche,0.6139042112412628,5.0,0.4919205187419455,8.0,,,0.11322998789603596,0.19583287655291487,2.4633498368202087e-05,0.1422116775823945,0.1620809978599419,,0.21074562782840803,0.17587419878193647
2011,France,0.6033844698309628,6.0,0.3328903199591384,13.0,,,0.1185527141133796,0.18341210359471777,0.009142336729436356,0.17512755576049796,0.1800200717204005,,0.16632323632580195,0.1674219817557658
2011,Allemagne,0.5911795035905149,7.0,0.4655014628992753,9.0,,,0.11992396746333508,0.2056252374277054,0.0004866765810368178,0.12821142556413992,0.1727452313549487,,0.2121874342857577,0.16082002732307632
2011,Luxembourg,0.5736206028026165,8.0,0.29039301276383567,15.0,,,0.11513731156768456,0.19293996778462166,0.0,0.1477123528117759,0.1952370001588627,,0.18403407037568104,0.16493929730137416
2011,Belgique,0.5655648471397264,9.0,0.234179626899654,16.0,,,0.1264531353529089,0.21529148494333106,0.0010465216775770523,0.19050009292295922,0.18251582948745357,,0.14813045575664271,0.13606247985912753
2011,Italie,0.49041181456537214,10.0,0.5479341131342411,6.0,,,0.1415143688366065,0.14383533714853927,0.033144297227247044,0.15501350984424309,0.20909449504920238,,0.16844651720998427,0.14895147468417747
